Probability range,Weighted mean probability,Weighted observed frequency,Weighted Y-P,Y-P 95% CI,Unique families,Family ESS,Frozen gate
0.0-0.1,0.0516,0.0403,-0.0113,"[-0.0261, 0.0049]",523,482.7,Pass
0.1-0.2,0.1520,0.1723,0.0203,"[-0.0048, 0.0462]",776,721.9,Pass
0.2-0.3,0.2531,0.2667,0.0137,"[-0.0089, 0.0368]",1219,1123.5,Pass
0.3-0.4,0.3502,0.3838,0.0337,"[0.0070, 0.0613]",1110,1019.5,Pass
0.4-0.5,0.4507,0.4610,0.0103,"[-0.0167, 0.0377]",1358,1214.0,Pass
0.5-0.6,0.5479,0.5393,-0.0086,"[-0.0360, 0.0181]",1324,1190.0,Pass
0.6-0.7,0.6486,0.6290,-0.0196,"[-0.0525, 0.0129]",909,858.6,Pass
0.7-0.8,0.7472,0.7168,-0.0304,"[-0.0647, 0.0024]",722,691.9,Pass
0.8-0.9,0.8444,0.8293,-0.0151,"[-0.0502, 0.0181]",482,465.1,Pass
0.9-1.0,0.9476,0.9625,0.0149,"[-0.0076, 0.0347]",302,298.8,Pass
