family_id,review_status,manual_anchor_type,manual_anchor_time,review_note
kalshi_event::KXATP-26HALLE,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXATP-26LONDON,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXATPCHALLENGERMATCH-26JUN18ALCSAN,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXATPCHALLENGERMATCH-26JUN18BUESVR,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXATPCHALLENGERMATCH-26JUN18CAMRAT,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXATPCHALLENGERMATCH-26JUN18DJETSE,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXATPCHALLENGERMATCH-26JUN18FELRAQ,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXATPCHALLENGERMATCH-26JUN18MOCBER,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXATPCHALLENGERMATCH-26JUN18OCOBON,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXATPCHALLENGERMATCH-26JUN18RODZHO,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXATPEXACTMATCH-26JUN17PAUVAN,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXATPEXACTMATCH-26JUN18ZVEHAN,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXATPGSPREAD-26JUN17PAUVAN,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXATPGSPREAD-26JUN18ZVEHAN,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXATPGTOTAL-26JUN17PAUVAN,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXATPGTOTAL-26JUN18ZVEHAN,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXATPMATCH-26JUN17PAUVAN,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXATPMATCH-26JUN18ZVEHAN,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXATPSETWINNER-26JUN17PAUVAN-2,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXATPSETWINNER-26JUN18ZVEHAN-1,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXATPSETWINNER-26JUN18ZVEHAN-2,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXBNB-26JUN1810,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXBNB-26JUN1811,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXBNB-26JUN1812,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXBNB15M-26JUN181015,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXBNB15M-26JUN181030,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXBNB15M-26JUN181045,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXBNB15M-26JUN181100,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXBNB15M-26JUN181115,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXBNB15M-26JUN181130,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXBNB15M-26JUN181145,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXBNB15M-26JUN181200,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXBNB15M-26JUN181215,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXBNBD-26JUN1810,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXBNBD-26JUN1811,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
kalshi_event::KXBNBD-26JUN1812,reviewed_include_fixed,scheduled_absolute,,Structured Kalshi event with a contract-level scheduled close; use each contract scheduled_end_time.
